model_name,use_smc,lmbda,resample_freq,t_start,t_end,num_particles,potential_type,seed,div_score,IR_avg,IR_max,ave_score,bon_score,job,results_filename
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,2,max,44,0.0,0.1887903370832179,0.7707760799955574,0.5146435991116842,0.5684701626190988,20241219-003817,results_180.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,2,max,44,0.0,0.1887903370832179,0.7707760799955574,0.5146435991116842,0.5684701626190988,20241226-134810,results_99.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,2,max,44,0.0,0.1887903370832179,0.7707760799955574,0.5146435991116842,0.5684701626190988,20241224-162446,results_170.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,2,max,44,0.0,0.1887903370832179,0.7707760799955574,0.5146435991116842,0.5684701626190988,20241221-062901,results_63.jsonl
stabilityai/stable-diffusion-2-1,True,10.0,20,20,80,2,max,44,0.0,0.1887903370832179,0.7707760799955574,0.5146435991116842,0.5684701626190988,20241219-004242,results_108.jsonl
CompVis/stable-diffusion-v1-4,True,10.0,20,20,80,3,diff,42,0.0,0.20839081036354706,0.7043914057463441,0.5121481063590992,0.509894870692743,20241204-202117,results_143.jsonl
CompVis/stable-diffusion-v1-4,True,10.0,20,20,80,3,diff,42,0.0,0.20839081036354706,0.7043914057463441,0.5121481063590992,0.509894870692743,20241204-202119,results_2.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,3,diff,42,0.0,0.19118383392408678,0.6526784023731462,0.5116288774267498,0.5086953757432481,20241204-202122,results_195.jsonl
runwayml/stable-diffusion-v1-5,True,10.0,20,20,80,3,diff,42,0.0,0.19118383392408678,0.6526784023731462,0.5116288774267498,0.5086953757432481,20241204-202123,results_120.jsonl
CompVis/stable-diffusion-v1-4,True,10.0,20,20,80,3,max,43,0.0,0.19031335910336766,0.6874058898775182,0.5030721517778255,0.5028035675908017,20241226-193138,results_133.jsonl
